word,type
aardvark,n
aardwolf,n
aaron,n
aback,r
abacus,n
abaft,r
abalone,n
abandon,n
abandoned,v
abandonment,n
abandons,n
abase,v
abased,v
abasement,n
abash,v
abashed,v
abate,v
abated,v
abatement,n
abates,v
abattoir,n
abattoirs,n
abbe,n
abbess,n
abbey,n
abbeys,n
abbot,n
abbots,n
abbreviate,v
abbreviated,v
abbreviates,v
abbreviating,v
abbreviation,n
abbreviations,n
abdicate,v
abdicated,v
abdicates,v
abdicating,v
abdication,n
abdomen,n
abdomens,n
abdominal,n
abduct,v
abducted,v
abducting,v
abduction,n
abductions,n
abductor,n
abductors,n
abducts,v
abe,
abeam,r
abel,n
abele,n
aberdeen,n
aberrant,n
aberration,n
aberrations,n
abet,v
abets,v
abetted,v
abetting,v
abeyance,n
abhor,v
abhorred,v
abhorrence,n
abhorrent,s
abhors,v
abide,v
abided,v
abides,v
abiding,v
abidjan,n
abies,n
abilities,n
ability,n
abject,s
abjectly,r
abjure,v
abjured,v
ablate,v
ablates,v
ablating,v
ablation,n
ablative,n
ablaze,s
able,a
ablebodied,
abler,a
ablest,a
abloom,s
ablution,n
ablutions,n
ably,r
abnegation,n
abnormal,a
abnormalities,n
abnormality,n
abnormally,r
aboard,r
abode,n
abodes,n
abolish,v
abolished,v
abolishes,v
abolishing,v
abolition,n
abolitionist,n
abolitionists,n
abomb,
abominable,s
abominably,r
abominate,v
abominated,v
abomination,n
abominations,n
aboriginal,n
aborigines,n
abort,n
aborted,v
aborting,v
abortion,n
abortionist,n
abortionists,n
abortions,n
abortive,s
aborts,n
abound,v
abounded,v
abounding,v
abounds,v
about,s
above,n
abraded,v
abraham,n
abrasion,n
abrasions,n
abrasive,n
abrasively,
abrasiveness,n
abrasives,n
abreast,s
abridge,v
abridged,v
abridgement,n
abridging,v
abroad,s
abrogate,v
abrogated,v
abrogating,v
abrogation,n
abrogations,n
abrupt,s
abruptly,r
abruptness,n
abscess,n
abscesses,n
abscissa,n
abscissae,n
abscissas,n
abscond,v
absconded,v
absconder,n
absconding,v
absconds,v
abseil,n
abseiled,v
abseiler,n
abseiling,v
abseils,n
absence,n
absences,n
absent,v
absented,v
absentee,n
absenteeism,n
absentees,n
absenting,v
absently,r
absentminded,s
absentmindedly,r
absentmindedness,n
absolute,n
absolutely,r
absoluteness,n
absolutes,n
absolution,n
absolutism,n
absolutist,n
absolutists,n
absolve,v
absolved,v
absolves,v
absolving,v
absorb,v
absorbed,v
absorbency,n
absorbent,n
absorber,n
absorbers,n
absorbing,v
absorbingly,
absorbs,v
absorption,n
absorptions,n
absorptive,a
absorptivity,n
abstain,v
abstained,v
abstainer,n
abstainers,n
abstaining,v
abstains,v
abstemious,a
abstemiously,r
abstemiousness,n
abstention,n
abstentions,n
abstinence,n
abstinent,n
abstract,n
abstracted,v
abstractedly,r
abstracting,v
abstraction,n
abstractions,n
abstractly,r
abstracts,n
abstruse,s
abstrusely,r
absurd,n
absurder,s
absurdest,s
absurdist,
absurdities,n
absurdity,n
absurdly,r
abundance,n
abundances,n
abundant,a
abundantly,r
abuse,n
abused,v
abuser,n
abusers,n
abuses,n
abusing,v
abusive,s
abusively,r
abusiveness,
abut,v
abutment,n
abutments,n
abutted,v
abutting,v
abuzz,s
aby,v
abysmal,s
abysmally,r
abyss,n
abyssal,a
abysses,n
acacia,n
academe,n
academia,n
academic,n
academical,
academically,r
academician,n
academicians,n
academics,n
academies,n
academy,n
acanthus,n
acapulco,n
accede,v
acceded,v
acceding,v
accelerate,v
accelerated,v
accelerates,v
accelerating,v
acceleration,n
accelerations,n
accelerator,n
accelerators,n
accelerometer,n
accelerometers,n
accent,n
accented,v
accenting,n
accents,n
accentuate,v
accentuated,v
accentuates,v
accentuating,v
accentuation,n
accept,v
acceptability,n
acceptable,a
acceptably,r
acceptance,n
acceptances,n
accepted,v
accepting,v
acceptor,n
acceptors,n
accepts,v
access,n
accessed,v
accesses,n
accessibility,n
accessible,a
accessing,v
accession,n
accessions,n
accessories,n
accessory,n
accidence,n
accident,n
accidental,n
accidentally,r
accidentprone,
accidents,n
acclaim,n
acclaimed,v
acclaims,n
acclamation,n
acclamations,n
acclimatisation,n
acclimatise,v
acclimatised,v
acclimatising,v
accolade,n
accolades,n
accommodate,v
accommodated,v
accommodates,v
accommodating,v
accommodation,n
accommodations,n
accompanied,v
accompanies,v
accompaniment,n
accompaniments,n
accompanist,n
accompany,v
accompanying,v
accomplice,n
accomplices,n
accomplish,v
accomplished,v
accomplishes,v
accomplishing,v
accomplishment,n
accomplishments,n
accord,n
accordance,n
accorded,v
according,v
accordingly,r
accordion,n
accordionist,n
accordions,n
accords,n
accost,v
accosted,v
accosting,v
accosts,v
account,n
accountability,n
accountable,s
accountancy,n
accountant,n
accountants,n
accounted,v
accounting,n
accounts,n
accra,n
accredit,v
accreditation,n
accredited,v
accrediting,v
accredits,v
accreted,v
accretion,n
accretions,n
accrual,n
accruals,n
accrue,v
accrued,v
accrues,v
accruing,v
accumulate,v
accumulated,v
accumulates,v
accumulating,v
accumulation,n
accumulations,n
accumulative,s
accumulator,n
accumulators,n
accuracies,n
accuracy,n
accurate,a
accurately,r
accursed,v
accusal,n
accusals,n
accusation,n
accusations,n
accusative,n
accusatory,s
accuse,v
accused,n
accuser,n
accusers,n
accuses,v
accusing,v
accusingly,r
accustom,v
accustomed,v
accustoming,v
ace,n
aced,v
acentric,a
acerbic,s
acerbity,n
acers,n
aces,n
acetal,n
acetate,n
acetates,n
acetic,a
acetone,n
acetylene,n
ache,n
ached,v
aches,n
achievable,s
achieve,v
achieved,v
achievement,n
achievements,n
achiever,n
achievers,n
achieves,v
achieving,v
aching,n
achingly,
achings,n
achromatic,a
achy,s
acid,n
acidic,a
acidification,n
acidified,v
acidify,v
acidifying,v
acidity,n
acidly,
acidophiles,n
acidrain,
acids,n
acknowledge,v
acknowledged,v
acknowledgement,n
acknowledgements,n
acknowledges,v
acknowledging,v
acknowledgment,n
acknowledgments,n
acme,n
acne,n
acolyte,n
acolytes,n
aconite,n
acorn,n
acorns,n
acoustic,n
acoustical,a
acoustically,r
acoustics,n
acquaint,v
acquaintance,n
acquaintances,n
acquainted,v
acquainting,v
acquaints,v
acquiesce,v
acquiesced,v
acquiescence,n
acquiescent,s
acquiescing,v
acquire,v
acquired,v
acquirer,n
acquirers,n
acquires,v
acquiring,n
acquisition,n
acquisitions,n
acquisitive,a
acquisitiveness,n
acquit,v
acquited,v
acquites,v
acquits,v
acquittal,n
acquittals,n
acquittance,n
acquitted,v
acquitting,v
acre,n
acreage,n
acres,n
acrid,s
acrimonious,s
acrimoniously,
acrimony,n
acrobat,n
acrobatic,s
acrobatics,n
acrobats,n
acronym,n
acronyms,n
across,r
acrostic,n
acrostics,n
acrylic,n
acrylics,n
act,n
acted,v
acting,n
actings,n
actinides,n
action,n
actionable,s
actions,n
activate,v
activated,v
activates,v
activating,n
activation,n
activations,n
activator,n
activators,n
active,n
actively,r
actives,n
activism,n
activist,n
activists,n
activities,n
activity,n
actor,n
actors,n
actress,n
actresses,n
acts,n
actual,a
actualisation,n
actualise,v
actualised,v
actualities,n
actuality,n
actually,r
actuarial,a
actuaries,n
actuary,n
actuate,v
actuated,v
actuates,v
actuating,v
actuation,n
actuator,n
actuators,n
acuity,n
acumen,n
acupuncture,n
acupuncturist,
acupuncturists,
acute,n
acutely,r
acuteness,n
acuter,a
acutest,a
acyclic,a
adage,n
adages,n
adagio,n
adam,n
adamant,n
adamantly,r
adapt,v
adaptability,n
adaptable,a
adaptation,n
adaptations,n
adapted,v
adapter,n
adapters,n
adapting,v
adaptive,a
adaptively,
adaptivity,
adaptor,n
adaptors,n
adapts,v
add,n
added,v
addenda,n
addendum,n
adder,n
adders,n
addict,n
addicted,v
addiction,n
addictions,n
addictive,a
addictiveness,
addicts,n
adding,v
addition,n
additional,s
additionally,r
additions,n
additive,n
additively,
additives,n
addle,v
addled,v
addles,v
addling,v
address,n
addressability,
addressable,s
addressed,v
addressee,n
addressees,n
addresses,n
addressing,v
adds,n
adduce,v
adduced,v
adduces,v
adducing,n
adelaide,n
aden,n
adenine,n
adenoid,n
adenoids,n
adenoma,n
adenomas,n
adept,n
adepts,n
adequacy,n
adequate,a
adequately,r
adhere,v
adhered,v
adherence,n
adherent,n
adherents,n
adherer,
adherers,
adheres,v
adhering,v
adhesion,n
adhesions,n
adhesive,n
adhesiveness,n
adhesives,n
adhoc,
adiabatic,a
adiabatically,
adieu,n
adieus,n
adieux,n
adios,n
adipose,s
adit,n
adjacency,n
adjacent,s
adjacently,
adjectival,a
adjective,n
adjectives,n
adjoin,v
adjoined,v
adjoining,v
adjoins,v
adjourn,v
adjourned,v
adjourning,v
adjournment,n
adjourns,v
adjudge,v
adjudged,v
adjudges,v
adjudicate,v
adjudicated,v
adjudicates,v
adjudicating,v
adjudication,n
adjudications,n
adjudicator,n
adjudicators,n
adjunct,n
adjuncts,n
adjure,v
adjust,v
adjustable,s
adjusted,v
adjuster,n
adjusting,v
adjustment,n
adjustments,n
adjusts,v
adjutant,n
adlib,
adlibs,
adman,n
admen,n
admin,
administer,v
administered,v
administering,v
administers,v
administrate,v
administrated,v
administrating,v
administration,n
administrations,n
administrative,a
administratively,r
administrator,n
administrators,n
admirable,s
admirably,r
admiral,n
admirals,n
admiration,n
admire,v
admired,v
admirer,n
admirers,n
admires,v
admiring,v
admiringly,r
admissibility,n
admissible,a
admission,n
admissions,n
admit,v
admits,v
admittance,n
admittances,n
admitted,v
admittedly,r
admitting,v
admix,v
admixture,n
admonish,v
admonished,v
admonishes,v
admonishing,v
admonishment,n
admonition,n
admonitions,n
admonitory,s
ado,n
adobe,n
adolescence,n
adolescent,n
adolescents,n
adonis,n
adopt,v
adopted,v
adopter,n
adopting,v
adoption,n
adoptions,n
adoptive,a
adopts,v
adorable,s
adorably,r
adoration,n
adore,v
adored,v
adorer,n
adorers,n
adores,v
adoring,v
adoringly,r
adorn,v
adorned,v
adorning,v
adornment,n
adornments,n
adorns,v
adrenal,n
adrenalin,n
adrenaline,n
adrift,s
adroit,a
adroitly,r
adroitness,n
adsorb,v
adsorbed,v
adsorption,n
adulation,n
adulatory,s
adult,n
adulterate,v
adulterated,v
adulterates,v
adulterating,v
adulteration,n
adulterations,n
adulterer,n
adulterers,n
adulteress,n
adulteresses,n
adulterous,s
adultery,n
adulthood,n
adults,n
adumbrate,v
adumbrated,v
adumbrating,v
advance,n
advanced,v
advancement,n
advancements,n
advancer,n
advances,n
advancing,v
advantage,n
advantaged,v
advantageous,a
advantageously,r
advantages,n
advent,n
advents,n
adventure,n
adventured,v
adventurer,n
adventurers,n
adventures,n
adventuring,v
adventurism,n
adventurous,a
adventurously,
adverb,n
adverbial,n
adverbs,n
adversarial,
adversaries,n
adversary,n
adverse,s
adversely,r
adversities,n
adversity,n
advert,n
adverted,v
advertise,v
advertised,v
advertisement,n
advertisements,n
advertiser,n
advertisers,n
advertises,v
advertising,n
adverts,n
advice,n
advices,n
advisability,n
advisable,a
advise,v
advised,v
advisedly,r
adviser,n
advisers,n
advises,v
advising,v
advisory,n
advocacy,n
advocate,n
advocated,v
advocates,n
advocating,v
adze,n
aegean,n
aegina,n
aegis,n
aeolian,n
aeon,n
aeons,n
aerate,v
aerated,v
aerates,v
aerating,v
aeration,n
aerator,n
aerial,n
aerially,r
aerials,n
aerify,v
aerobatic,
aerobatics,n
aerobe,n
aerobes,n
aerobic,a
aerobically,
aerobics,n
aerobraking,
aerodrome,n
aerodromes,n
aerodynamic,a
aerodynamically,
aerodynamics,n
aerofoil,n
aerofoils,n
aeronaut,n
aeronautic,a
aeronautical,a
aeronautics,n
aeroplane,n
aeroplanes,n
aerosol,n
aerosols,n
aerospace,n
aesop,n
aesthete,n
aesthetes,n
aesthetic,n
aesthetically,r
aestheticism,
aestheticsy,
afar,r
affability,n
affable,s
affably,r
affair,n
affairs,n
affect,n
affectation,n
affectations,n
affected,v
affectedly,r
affecting,v
affection,n
affectionate,s
affectionately,r
affections,n
affective,s
affects,n
afferent,n
affidavit,n
affidavits,n
affiliate,n
affiliated,v
affiliates,n
affiliating,v
affiliation,n
affiliations,n
affine,n
affinities,n
affinity,n
affirm,v
affirmation,n
affirmations,n
affirmative,n
affirmatively,r
affirmed,n
affirming,v
affirms,v
affix,n
affixed,v
affixes,n
affixing,v
afflict,v
afflicted,v
afflicting,v
affliction,n
afflictions,n
afflicts,v
affluence,n
affluent,n
afflux,
afford,v
affordability,
affordable,s
afforded,v
affording,v
affords,v
afforestation,n
afforested,v
affray,n
affront,n
affronted,v
affronts,n
afghan,n
afghani,n
afghans,n
afield,r
afire,s
aflame,s
afloat,s
afoot,s
aforementioned,s
aforesaid,s
aforethought,s
afraid,a
afresh,r
africa,n
african,n
africans,n
afro,n
afros,n
aft,a
after,s
afterbirth,n
aftercare,n
aftereffect,n
aftereffects,n
afterglow,n
afterlife,n
afterlives,
aftermath,n
afternoon,n
afternoons,n
aftershave,
aftershocks,n
aftertaste,n
afterthought,n
afterthoughts,n
afterward,r
afterwards,r
aga,n
again,r
against,
agakhan,
agape,n
agar,n
agaragar,
agave,n
agaves,n
age,n
aged,n
ageing,n
ageings,n
ageism,n
ageless,s
agencies,n
agency,n
agenda,n
agendas,n
agendums,n
agent,n
agents,n
ageold,
ages,n
agglomerated,v
agglomerating,v
agglomeration,n
agglomerations,n
agglutinative,s
aggravate,v
aggravated,v
aggravates,v
aggravating,v
aggravation,n
aggravations,n
aggregate,n
aggregated,v
aggregates,n
aggregating,v
aggregation,n
aggregations,n
aggression,n
aggressions,n
aggressive,a
aggressively,r
aggressiveness,n
aggressor,n
aggressors,n
aggrieved,v
aggrievedly,
aghast,s
agile,s
agiler,s
agility,n
aging,n
agings,n
agio,n
agitate,v
agitated,v
agitatedly,
agitates,v
agitating,v
agitation,n
agitations,n
agitator,n
agitators,n
agitprop,n
agleam,s
aglow,s
agnostic,n
agnosticism,n
agnostics,n
ago,s
agog,s
agonies,n
agonise,v
agonised,v
agonises,v
agonising,v
agonisingly,
agonist,n
agonists,n
agony,n
agora,n
agoraphobia,n
agoraphobic,s
agouti,n
agrarian,s
agree,v
agreeable,a
agreeableness,n
agreeably,r
agreed,v
agreeing,v
agreement,n
agreements,n
agrees,v
agribusiness,n
agricultural,a
agriculturalist,n
agriculturalists,n
agriculturally,
agriculture,n
agrimony,n
agrochemical,
agrochemicals,
agronomist,n
agronomists,n
agronomy,n
aground,a
ague,n
ah,
aha,
ahead,s
ahem,n
ahoy,
aid,n
aide,n
aided,v
aidedecamp,
aider,
aiders,
aides,n
aidesdecamp,
aiding,v
aids,n
ail,n
aileron,n
ailerons,n
ailing,v
ailment,n
ailments,n
ails,n
aim,n
aimed,v
aimer,
aiming,v
aimless,s
aimlessly,r
aimlessness,n
aims,n
aint,
air,n
airbase,
airborne,s
airbrush,n
airbus,n
airconditioned,
airconditioner,
airconditioning,
aircraft,n
aircrew,n
aircrews,n
aire,n
aired,v
airfield,n
airfields,n
airflow,n
airforce,n
airframe,n
airframes,n
airgun,n
airier,s
airiest,s
airily,r
airiness,n
airing,n
airings,n
airless,s
airlift,n
airlifted,v
airlifting,v
airlifts,n
airline,n
airliner,n
airliners,n
airlines,n
airlock,n
airlocks,n
airmail,n
airman,n
airmen,n
airplane,n
airplay,
airport,n
airports,n
airraid,
airs,n
airship,n
airships,n
airsick,s
airsickness,n
airspace,n
airstream,n
airstrip,n
airstrips,n
airtight,s
airtime,
airwave,n
airwaves,n
airway,n
airways,n
airworthiness,n
airworthy,a
airy,s
aisle,n
aisles,n
aitches,
ajar,s
akimbo,s
akin,s
ala,n
alabama,n
alabaster,n
alacarte,
alack,
alacrity,n
aladdin,n
alanine,n
alarm,n
alarmed,v
alarming,v
alarmingly,r
alarmism,n
alarmist,n
alarms,n
alas,n
alaska,n
alaskan,n
alb,n
albania,n
albany,n
albatross,n
albatrosses,n
albeit,
albinism,n
albino,n
album,n
albumen,n
albumin,n
albums,n
alchemical,a
alchemist,n
alchemists,n
alchemy,n
alcohol,n
alcoholic,n
alcoholics,n
alcoholism,n
alcohols,n
alcove,n
alcoves,n
aldehyde,n
aldehydes,n
alder,n
alderman,n
aldermen,n
aldrin,
ale,n
alehouse,n
alembic,n
alert,n
alerted,v
alerting,n
alertly,r
alertness,n
alerts,n
ales,n
alfalfa,n
alfatah,
alga,n
algae,n
algal,a
algebra,n
algebraic,a
algebraical,a
algebraically,r
algebraist,n
algebras,n
algeria,n
algerian,n
algiers,n
algorithm,n
algorithmic,a
algorithmically,
algorithms,n
alias,n
aliases,n
alibaba,
alibi,n
alibis,n
alien,n
alienate,v
alienated,v
alienates,v
alienating,v
alienation,n
aliened,v
aliening,v
aliens,n
alight,v
alighted,v
alighting,v
alights,v
align,v
aligned,v
aligning,v
alignment,n
alignments,n
aligns,v
alike,a
alimentary,s
alimony,n
aline,v
alined,v
alines,v
alining,v
aliphatic,s
aliquot,n
aliquots,n
alive,a
alkali,n
alkalic,a
alkaline,a
alkalinity,n
alkalis,n
alkalise,v
alkaloid,n
alkaloids,n
alkanes,n
alkyl,n
all,a
allay,v
allayed,v
allaying,v
allays,v
allegation,n
allegations,n
allege,v
alleged,v
allegedly,r
alleges,v
allegiance,n
allegiances,n
alleging,v
allegorical,s
allegorically,r
allegories,n
allegory,n
allegri,
allegro,n
allele,n
alleles,n
allelic,a
allergen,n
allergens,n
allergic,a
allergies,n
allergy,n
alleviate,v
alleviated,v
alleviates,v
alleviating,v
alleviation,n
alleviations,n
alley,n
alleys,n
alleyway,n
alleyways,n
alliance,n
alliances,n
allied,v
allies,n
alligator,n
alligators,n
alliterate,v
alliterated,v
alliterating,v
alliteration,n
alliterations,n
alliterative,s
allocatable,s
allocate,v
allocated,v
allocates,v
allocating,v
allocation,n
allocations,n
allocator,n
allocators,n
allophones,n
allot,v
allotment,n
allotments,n
allotrope,n
allotropic,a
allots,v
allotted,v
allotting,v
allow,v
allowable,s
allowance,n
allowances,n
allowed,v
allowing,v
allows,v
alloy,n
alloyed,v
alloying,v
alloys,n
allude,v
alluded,v
alludes,v
alluding,v
allure,n
allured,v
allurement,n
allurements,n
allures,n
alluring,v
alluringly,
allusion,n
allusions,n
allusive,s
alluvia,n
alluvial,a
alluvium,n
ally,n
allying,v
almanac,n
almanacs,n
almighty,n
almond,n
almonds,n
almost,r
alms,n
almshouse,
almshouses,
aloe,n
aloes,n
aloft,r
aloha,n
alone,s
aloneness,n
along,r
alongside,r
aloof,s
aloofness,n
aloud,r
alp,n
alpaca,n
alpacas,n
alpha,n
alphabet,n
alphabetic,a
alphabetical,a
alphabetically,r
alphabets,n
alphanumeric,a
alphas,n
alpine,a
alps,n
already,r
alright,s
also,r
alt,n
altar,n
altarpiece,n
altarpieces,n
altars,n
alter,v
alterable,a
alteration,n
alterations,n
altercate,v
altercation,n
altercations,n
altered,v
alterego,
altering,n
alternate,n
alternated,v
alternately,r
alternates,n
alternating,v
alternation,n
alternations,n
alternative,n
alternatively,r
alternatives,n
alternator,n
alternators,n
alters,v
although,
altimeter,n
altimeters,n
altitude,n
altitudes,n
alto,n
altogether,n
altruism,n
altruist,n
altruistic,a
altruistically,r
alts,n
alum,n
aluminium,n
aluminum,n
alumni,n
alumnus,n
alveolar,n
alveoli,n
always,r
am,n
amalgam,n
amalgamate,v
amalgamated,v
amalgamates,v
amalgamating,v
amalgamation,n
amalgamations,n
amalgams,n
amanuensis,n
amass,v
amassed,v
amasses,v
amassing,v
amateur,n
amateurish,s
amateurishly,r
amateurishness,n
amateurism,n
amateurs,n
amatory,s
amaze,v
amazed,v
amazement,n
amazes,v
amazing,v
amazingly,r
amazon,n
amazons,n
ambassador,n
ambassadorial,a
ambassadors,n
amber,n
ambergris,n
ambiance,n
ambidextrous,a
ambience,n
ambient,s
ambiguities,n
ambiguity,n
ambiguous,a
ambiguously,r
ambit,n
ambition,n
ambitions,n
ambitious,a
ambitiously,r
ambivalence,n
ambivalent,s
ambivalently,
amble,n
ambled,v
ambler,n
ambles,n
ambling,v
ambrosia,n
ambulance,n
ambulances,n
ambulant,s
ambulate,v
ambulatory,n
ambuscade,n
ambuscades,n
ambush,n
ambushed,v
ambushers,n
ambushes,n
ambushing,v
ameliorate,v
ameliorated,v
ameliorates,v
ameliorating,v
amelioration,n
amen,n
amenability,n
amenable,s
amend,v
amendable,s
amended,v
amending,v
amendment,n
amendments,n
amends,n
amenities,n
amenity,n
amenorrhoea,n
amens,n
america,n
american,n
americans,n
americium,n
amethyst,n
amethystine,a
amethysts,n
amiability,n
amiable,s
amiableness,n
amiably,r
amicability,n
amicable,a
amicably,r
amid,
amide,n
amidships,r
amidst,
amigo,n
amine,n
amines,n
amino,n
amir,n
amiss,s
amity,n
amman,n
ammeter,n
ammeters,n
ammo,n
ammonia,n
ammonites,n
ammonium,n
ammunition,n
amnesia,n
amnesiac,n
amnesic,n
amnesties,n
amnesty,n
amniotic,a
amoeba,n
amoebae,n
amoebic,a
amok,s
among,
amongst,
amoral,
amorality,n
amorist,n
amorous,s
amorously,r
amorphous,s
amortisation,n
amortise,v
amortised,v
amount,n
amounted,v
amounting,v
amounts,n
amour,n
amours,n
amp,n
ampere,n
amperes,n
ampersand,n
ampersands,n
amphetamine,n
amphetamines,n
amphibia,n
amphibian,n
amphibians,n
amphibious,a
amphitheatre,n
amphitheatres,n
amphora,n
ample,a
ampler,a
amplification,n
amplifications,n
amplified,v
amplifier,n
amplifiers,n
amplifies,v
amplify,v
amplifying,v
amplitude,n
amplitudes,n
amply,r
ampoules,n
amps,n
ampule,n
ampules,n
ampuls,n
amputate,v
amputated,v
amputating,v
amputation,n
amputations,n
amputee,n
amputees,n
amuck,s
amulet,n
amulets,n
amuse,v
amused,v
amusement,n
amusements,n
amuses,v
amusing,v
amusingly,r
an,n
ana,n
anabolic,a
anachronism,n
anachronisms,n
anachronistic,s
anachronistically,r
anaconda,n
anacondas,n
anaemia,n
anaemic,a
anaerobic,a
anaerobically,
anaesthesia,n
anaesthetic,n
anaesthetics,n
anaesthetise,v
anaesthetised,v
anaesthetising,v
anaesthetist,n
anaesthetists,n
anagram,n
anagrammatic,a
anagrammatically,
anagrams,n
anal,a
analgesia,n
analgesic,n
analgesics,n
anally,
analogical,s
analogies,n
analogise,v
analogous,s
analogously,r
analogue,n
analogues,n
analogy,n
analysable,
analyse,v
analysed,v
analyser,n
analysers,n
analyses,n
analysing,v
analysis,n
analyst,n
analysts,n
analytic,a
analytical,a
analytically,r
anamorphic,a
ananas,n
anaphora,n
anaphoric,a
anarchic,s
anarchical,s
anarchism,n
anarchist,n
anarchistic,a
anarchists,n
anarchy,n
anathema,n
anatomic,a
anatomical,n
anatomically,r
anatomies,n
anatomist,n
anatomists,n
anatomy,n
ancestor,n
ancestors,n
ancestral,s
ancestries,n
ancestry,n
anchor,n
anchorage,n
anchorages,n
anchored,v
anchoring,v
anchorite,n
anchors,n
anchovies,n
anchovy,n
ancient,n
anciently,r
ancients,n
ancillary,s
and,
andante,n
andes,n
andrew,n
androgynous,a
android,n
androids,n
anecdotal,a
anecdotally,
anecdote,n
anecdotes,n
anechoic,s
anemia,n
anemic,s
anemone,n
anemones,n
anergy,n
aneroid,n
aneurysm,n
aneurysms,n
anew,r
angel,n
angelic,s
angelica,n
angels,n
angelus,n
anger,n
angered,v
angering,v
angers,n
angina,n
anginal,a
angioplasty,n
angle,n
angled,v
anglepoise,
angler,n
anglers,n
angles,n
anglian,n
anglican,n
angling,n
angola,n
angolan,n
angolans,n
angora,n
angoras,n
angrier,a
angriest,a
